"ORD-00001"|"2026-01-10T10:47:40Z"|"CUST-012"|510.17|0.05
"ORD-00002"|"2026-01-05T18:27:41Z"|"CUST-015"|693.66|0.1
"ORD-00003"|"2025-12-16T16:45:35Z"|"CUST-006"|624.27|0.1
"ORD-00004"|"2025-12-26T08:23:01Z"|"CUST-009"|1127.21|0.03
"ORD-00005"|"2026-01-04T10:58:48Z"|"CUST-012"|1458.06|0
"ORD-00006"|"2026-01-21T13:25:09Z"|"CUST-012"|912.12|0.03
"ORD-00007"|"2025-12-15T09:12:20Z"|"CUST-004"|1218.97|0.03
"ORD-00008"|"2026-01-03T03:53:36Z"|"CUST-006"|523.52|0.05
"ORD-00009"|"2025-12-03T14:36:42Z"|"CUST-009"|1478.80|0.1
"ORD-00010"|"2025-12-01T08:02:59Z"|"CUST-001"|1440.24|0.03
"ORD-00011"|"2025-12-18T08:48:21Z"|"CUST-005"|599.50|0.1
"ORD-00012"|"2025-12-11T06:44:55Z"|"CUST-015"|1181.41|0.03
"ORD-00013"|"2026-01-06T09:49:07Z"|"CUST-004"|1460.17|0.05
"ORD-00014"|"2025-12-04T21:47:29Z"|"CUST-004"|619.80|0.1
"ORD-00015"|"2025-12-22T00:12:10Z"|"CUST-012"|1301.90|0.03
"ORD-00016"|"2025-12-26T00:33:45Z"|"CUST-010"|933.68|0.03
"ORD-00017"|"2025-12-05T00:47:36Z"|"CUST-003"|801.33|0
"ORD-00018"|"2025-12-15T14:09:36Z"|"CUST-004"|849.73|0.05
"ORD-00019"|"2025-12-16T05:47:30Z"|"CUST-007"|823.76|0
"ORD-00020"|"2025-12-06T21:53:01Z"|"CUST-012"|945.11|0.1
"ORD-00021"|"2025-12-18T10:13:47Z"|"CUST-013"|511.71|0.05
"ORD-00022"|"2025-12-21T21:48:12Z"|"CUST-011"|1012.52|0
"ORD-00023"|"2026-01-16T16:17:23Z"|"CUST-010"|561.53|0.1
"ORD-00024"|"2026-01-01T15:04:39Z"|"CUST-013"|1110.09|0.1
"ORD-00025"|"2025-12-20T13:44:58Z"|"CUST-006"|1268.86|0
"ORD-00026"|"2025-12-15T12:43:54Z"|"CUST-002"|994.89|0.05
"ORD-00027"|"2025-12-23T09:26:09Z"|"CUST-004"|663.54|0.05
"ORD-00028"|"2025-12-15T13:51:43Z"|"CUST-009"|590.60|0
"ORD-00029"|"2025-12-15T05:27:59Z"|"CUST-001"|1157.68|0.03
"ORD-00030"|"2025-12-10T07:24:03Z"|"CUST-005"|1005.17|0.1
"ORD-00031"|"2025-12-07T10:03:45Z"|"CUST-013"|1251.46|0.1
"ORD-00032"|"2026-01-10T11:01:25Z"|"CUST-003"|743.27|0.03
"ORD-00033"|"2025-12-03T15:33:25Z"|"CUST-006"|830.47|0.1
"ORD-00034"|"2025-12-18T06:25:33Z"|"CUST-003"|1071.64|0.03
"ORD-00035"|"2026-01-10T02:56:38Z"|"CUST-009"|1191.88|0.05
"ORD-00036"|"2025-12-12T15:57:33Z"|"CUST-002"|1143.74|0.03
"ORD-00037"|"2025-12-20T14:26:11Z"|"CUST-012"|635.03|0.03
"ORD-00038"|"2026-01-02T01:37:37Z"|"CUST-010"|792.31|0
"ORD-00039"|"2025-12-26T05:41:42Z"|"CUST-013"|926.88|0.05
"ORD-00040"|"2026-01-20T03:58:05Z"|"CUST-009"|1074.05|0
"ORD-00041"|"2025-12-16T03:54:37Z"|"CUST-006"|1380.34|0
"ORD-00042"|"2025-12-27T16:38:00Z"|"CUST-012"|944.09|0.05
"ORD-00043"|"2026-01-09T00:14:30Z"|"CUST-005"|949.17|0.05
"ORD-00044"|"2025-12-31T06:39:36Z"|"CUST-012"|992.51|0
"ORD-00045"|"2025-12-26T17:47:47Z"|"CUST-008"|529.35|0.05
"ORD-00046"|"2025-12-14T05:03:58Z"|"CUST-015"|502.04|0
"ORD-00047"|"2025-12-03T23:18:53Z"|"CUST-002"|1102.46|0.03
"ORD-00048"|"2026-01-08T12:56:49Z"|"CUST-008"|681.84|0.05
"ORD-00049"|"2025-12-21T05:57:52Z"|"CUST-015"|800.15|0.05
"ORD-00050"|"2026-01-07T16:45:14Z"|"CUST-002"|1116.85|0.05
"ORD-00051"|"2025-12-04T22:15:29Z"|"CUST-007"|689.72|0
"ORD-00052"|"2025-12-14T20:51:07Z"|"CUST-014"|806.51|0.05
"ORD-00053"|"2026-01-11T04:40:17Z"|"CUST-004"|513.86|0
"ORD-00054"|"2026-01-19T21:41:53Z"|"CUST-001"|1291.31|0.05
"ORD-00055"|"2026-01-08T01:44:46Z"|"CUST-006"|1366.48|0.03
"ORD-00056"|"2025-12-10T16:07:19Z"|"CUST-008"|648.51|0.03
"ORD-00057"|"2025-12-26T03:52:24Z"|"CUST-010"|1032.36|0.03
"ORD-00058"|"2025-12-28T14:01:27Z"|"CUST-001"|1356.28|0
"ORD-00059"|"2025-12-10T03:00:09Z"|"CUST-009"|707.33|0.1
"ORD-00060"|"2026-01-20T20:58:59Z"|"CUST-001"|1277.81|0.03
"ORD-00061"|"2026-01-21T14:45:47Z"|"CUST-006"|1088.08|0.03
"ORD-00062"|"2026-01-14T09:59:34Z"|"CUST-007"|939.61|0.05
"ORD-00063"|"2025-12-03T15:44:09Z"|"CUST-014"|888.43|0
"ORD-00064"|"2025-12-31T23:52:38Z"|"CUST-008"|937.64|0.05
"ORD-00065"|"2025-12-31T09:51:37Z"|"CUST-007"|1300.64|0.03
"ORD-00066"|"2026-01-06T20:48:23Z"|"CUST-010"|1122.53|0
"ORD-00067"|"2026-01-17T04:51:59Z"|"CUST-002"|596.41|0.03
"ORD-00068"|"2025-12-04T05:30:06Z"|"CUST-001"|808.85|0.03
"ORD-00069"|"2026-01-20T23:30:43Z"|"CUST-002"|960.45|0.1
"ORD-00070"|"2025-12-06T17:13:35Z"|"CUST-007"|720.05|0.03
"ORD-00071"|"2026-01-01T23:50:32Z"|"CUST-012"|1284.57|0.1
"ORD-00072"|"2025-12-24T11:10:53Z"|"CUST-011"|1490.64|0.03
"ORD-00073"|"2025-12-21T05:46:02Z"|"CUST-009"|1074.38|0.03
"ORD-00074"|"2025-12-16T11:24:26Z"|"CUST-011"|1232.35|0
"ORD-00075"|"2025-12-19T22:11:40Z"|"CUST-002"|1284.30|0
"ORD-00076"|"2025-12-12T21:00:10Z"|"CUST-002"|765.25|0.03
"ORD-00077"|"2025-12-21T17:42:07Z"|"CUST-005"|725.32|0.05
"ORD-00078"|"2026-01-13T08:57:50Z"|"CUST-011"|903.55|0.03
"ORD-00079"|"2026-01-13T17:58:40Z"|"CUST-014"|1337.09|0
"ORD-00080"|"2026-01-20T07:20:05Z"|"CUST-001"|1012.88|0.05
"ORD-00081"|"2025-12-24T04:31:17Z"|"CUST-007"|993.22|0
"ORD-00082"|"2026-01-10T22:11:14Z"|"CUST-008"|611.03|0.03
"ORD-00083"|"2026-01-13T03:05:41Z"|"CUST-005"|924.63|0
"ORD-00084"|"2025-12-17T14:57:02Z"|"CUST-004"|1228.63|0.1
"ORD-00085"|"2025-12-26T11:01:23Z"|"CUST-010"|1380.81|0.03
"ORD-00086"|"2025-12-01T13:02:49Z"|"CUST-009"|1232.17|0.05
"ORD-00087"|"2025-12-03T07:21:11Z"|"CUST-013"|1439.79|0.05
"ORD-00088"|"2025-12-20T13:48:23Z"|"CUST-013"|1125.60|0
"ORD-00089"|"2026-01-08T14:42:24Z"|"CUST-006"|715.37|0.05
"ORD-00090"|"2025-12-23T08:58:44Z"|"CUST-002"|1420.03|0.03
"ORD-00091"|"2025-12-25T09:30:18Z"|"CUST-015"|1059.71|0
"ORD-00092"|"2025-12-15T16:38:10Z"|"CUST-010"|1082.04|0.03
"ORD-00093"|"2026-01-01T21:12:09Z"|"CUST-004"|628.40|0.05
"ORD-00094"|"2026-01-19T12:51:22Z"|"CUST-005"|529.00|0.1
"ORD-00095"|"2026-01-08T04:30:22Z"|"CUST-015"|1182.21|0.1
"ORD-00096"|"2026-01-12T17:38:38Z"|"CUST-010"|1062.47|0.05
"ORD-00097"|"2026-01-18T17:54:58Z"|"CUST-005"|1037.18|0.1
"ORD-00098"|"2026-01-16T20:24:59Z"|"CUST-015"|1148.93|0.1
"ORD-00099"|"2025-12-05T14:41:43Z"|"CUST-012"|598.33|0
"ORD-00100"|"2025-12-26T20:39:28Z"|"CUST-011"|814.72|0.1
